Month,game of thrones: (United States),HBO: (United States)
2010-01,1,6
2010-02,1,6
2010-03,1,8
2010-04,1,6
2010-05,1,6
2010-06,1,7
2010-07,1,6
2010-08,1,7
2010-09,1,7
2010-10,1,5
2010-11,1,6
2010-12,1,5
2011-01,1,6
2011-02,1,5
2011-03,1,6
2011-04,8,8
2011-05,10,11
2011-06,15,12
2011-07,8,11
2011-08,6,9
2011-09,5,9
2011-10,4,7
2011-11,4,7
2011-12,5,7
2012-01,5,8
2012-02,5,7
2012-03,10,8
2012-04,22,12
2012-05,21,11
2012-06,19,13
2012-07,10,10
2012-08,7,9
2012-09,7,8
2012-10,5,6
2012-11,5,6
2012-12,7,7
2013-01,7,9
2013-02,9,9
2013-03,17,9
2013-04,28,10
2013-05,25,9
2013-06,37,11
2013-07,13,9
2013-08,10,8
2013-09,8,8
2013-10,7,6
2013-11,8,7
2013-12,10,7
2014-01,13,10
2014-02,13,8
2014-03,16,9
2014-04,49,14
2014-05,34,11
2014-06,42,12
2014-07,15,10
2014-08,11,9
2014-09,9,8
2014-10,8,7
2014-11,8,8
2014-12,11,8
2015-01,12,9
2015-02,12,7
2015-03,13,11
2015-04,34,18
2015-05,28,14
2015-06,40,15
2015-07,13,12
2015-08,10,12
2015-09,9,9
2015-10,8,8
2015-11,8,8
2015-12,10,8
2016-01,9,8
2016-02,9,8
2016-03,12,8
2016-04,33,17
2016-05,45,17
2016-06,52,15
2016-07,21,13
2016-08,10,10
2016-09,8,9
2016-10,8,10
2016-11,8,9
2016-12,10,10
2017-01,11,9
2017-02,9,9
2017-03,10,9
2017-04,9,10
2017-05,10,9
2017-06,14,8
2017-07,57,21
2017-08,80,19
2017-09,20,11
2017-10,10,8
2017-11,8,8
2017-12,10,8
2018-01,9,9
2018-02,7,8
2018-03,7,7
2018-04,7,9
2018-05,6,8
2018-06,8,8
2018-07,9,9
2018-08,8,9
2018-09,8,7
2018-10,7,6
2018-11,8,7
2018-12,11,7
2019-01,15,8
2019-02,14,8
2019-03,23,13
2019-04,100,25
2019-05,98,21
